country;density
Afghanistan;16,49
Albania;80,87
Algeria;5,79
American Samoa;136,06
Andorra;42,44
Angola;4,84
Anguilla;69,04
Antigua and Barbuda;145,96
Argentina;8,58
Armenia;85,21
Aruba;328,37
Australia;1,64
Austria;89,01
Azerbaijan;62,65
Bahamas;12,85
Bahrain;290,92
Bangladesh;457,69
Barbados;561,39
Belarus;44,18
Belgium;315,43
Belize;5,26
Benin;26,85
Bermuda;963,31
Bhutan;7,78
Bolivia;4,17
Bosnia and Herzegovina;74,51
Botswana;1,02
Brazil;11,32
British Virgin Islands;63,45
Brunei;23,13
Bulgaria;77,41
Burkina Faso;20,56
Burundi;125,67
Cambodia;37,06
Cameroon;13,57
Canada;2,15
Cape Verde;71,23
Cayman Islands;39,9
Central African Republic;3,32
Chad;2,86
Chile;12,99
China;84,74
Colombia;18,31
Comoros;130,16
Cook Islands;86,74
Costa Rica;36,32
Croatia;79,38
Cuba;80,72
Curacao;338,7
Cyprus;69,27
Czech Republic;124,21
Denmark;114,24
Djibouti;6,22
Dominica;91,74
Dominican Republic;91,96
DR Congo;8,59
Ecuador;22,3
Egypt;34,7
El Salvador;172
Equatorial Guinea;11,3
Eritrea;10,82
Estonia;30,11
Eswatini;25,5
Ethiopia;25,63
Falkland Islands;0,19
Faroe Islands;27,58
Fiji;28,88
Finland;13,61
France;91,58
French Guiana;0,56
French Polynesia;28,29
Gabon;2,23
Gambia;49,46
Georgia;68,87
Germany;219,24
Ghana;37,15
Gibraltar;4447,5
Greece;64,74
Greenland;0,02
Grenada;287,19
Guadeloupe;195,52
Guam;160,84
Guatemala;50,08
Guernsey;675,08
Guinea;17,17
Guinea-Bissau;16,38
Guyana;3,28
Haiti;168,68
Honduras;24,74
Hong Kong;3582,49
Hungary;110,88
Iceland;1,99
India;169,58
Indonesia;60,5
Iran;17,26
Iraq;22,38
Ireland;41,8
Isle of Man;96,67
Israel;139,98
Italy;176,96
Ivory Coast;16,99
Jamaica;169,15
Japan;278,93
Jersey;589,2
Jordan;17,43
Kazakhstan;4,5
Kenya;19,77
Kiribati;70,82
Kuwait;45,05
Kyrgyzstan;15,09
Laos;11,3
Latvia;37,14
Lebanon;227,88
Lesotho;33,72
Liberia;13,14
Libya;1,09
Liechtenstein;131,81
Lithuania;49,16
Luxembourg;131,22
Macau;8242,8
Madagascar;11,31
Malawi;39,04
Malaysia;31,16
Maldives;410,81
Mali;4,96
Malta;998,15
Marshall Islands;132,43
Martinique;289,39
Mauritania;1,09
Mauritius;406,92
Mayotte;94,61
Mexico;25,6
Micronesia;84,03
Moldova;109,65
Monaco;12135
Mongolia;0,83
Montenegro;38,39
Montserrat;111,78
Morocco;34,21
Mozambique;10,49
Myanmar;40,33
Namibia;0,91
Nauru;317,29
Nepal;84,94
Netherlands;311,53
New Caledonia;5,97
New Zealand;10,44
Nicaragua;18,75
Niger;3,69
Nigeria;60,15
Niue;19,94
North Korea;124,42
North Macedonia;64,43
Northern Mariana Islands;21,86
Norway;11,97
Oman;2,17
Pakistan;67,23
Palau;24,76
Palestine;179,78
Panama;20,1
Papua New Guinea;5,38
Paraguay;5,92
Peru;10,55
Philippines;109,35
Poland;103,89
Portugal;94,3
Puerto Rico;308,64
Qatar;10,19
Republic of the Congo;4,08
Reunion;188,74
Romania;83,57
Russia;7,61
Rwanda;147,94
Saint Barthelemy;115,1
Saint Kitts and Nevis;172,29
Saint Lucia;167,35
Saint Martin;109,47
Saint Pierre and Miquelon;22,88
Saint Vincent and the Grenadines;253,11
Samoa;50,24
San Marino;297,85
Sao Tome and Principe;80,48
Saudi Arabia;2,84
Senegal;22,2
Serbia;81,41
Seychelles;120,31
Sierra Leone;38,73
Singapore;2903,99
Sint Maarten;184,12
Slovakia;92,23
Slovenia;85,89
Solomon Islands;5,98
Somalia;5,84
South Africa;18,32
South Korea;325,33
South Sudan;5,39
Spain;66,78
Sri Lanka;188,82
Sudan;5,99
Suriname;2,32
Sweden;17,83
Switzerland;149,72
Syria;34,12
Taiwan;413,28
Tajikistan;20,92
Tanzania;14,41
Thailand;69,75
Timor-Leste;37,25
Togo;38,7
Tokelau;142,83
Tonga;115,78
Trinidad and Tobago;192,77
Tunisia;30,85
Turkey;45,36
Turkmenistan;4,51
Turks and Caicos Islands;5,98
Tuvalu;223,62
Uganda;42,71
Ukraine;78,34
United Arab Emirates;3,57
United Kingdom;229,11
United States;21,37
United States Virgin Islands;182,84
Uruguay;15,41
Uzbekistan;26,85
Vanuatu;7,14
Vatican City;752
Venezuela;12,39
Vietnam;126,59
Wallis and Futuna;66,04
Western Sahara;0,29
Yemen;12,96
Zambia;5,69
Zimbabwe;13,31
